1,彰化縣,120.4818,23.99297
2,雲林縣,120.3897,23.75585
3,嘉義市,120.4473,23.47545
4,嘉義縣,120.574,23.45889
5,高雄市,120.666,23.01087
6,臺東縣,120.9876,22.98461
7,屏東縣,120.62,22.54951
8,臺南市,120.2513,23.1417
9,澎湖縣,119.6151,23.56548
10,金門縣,118.3186,24.43679
11,連江縣,119.5397,26.19737
12,新竹市,120.9647,24.80395
13,新竹縣,121.1252,24.70328
14,桃園縣,121.2168,24.93759
15,臺北市,121.5598,25.09108
16,基隆市,121.7081,25.10898
17,新北市,121.6739,24.91571
18,宜蘭縣,121.7195,24.69295
19,花蓮縣,121.3542,23.7569
20,南投縣,120.9876,23.83876
21,臺中市,120.9417,24.23321
22,苗栗縣,120.9417,24.48927
